time_value	hz	ex	ey	
0	0	0	0	
0.288675	0	0	0	
0.57735	0	0	0	
0.866025	0	0	0	
1.1547	0	0	0	
1.44338	0	0	0	
1.73205	0	0	0	
2.02073	0	0	0	
2.3094	0	0	0	
2.59808	0	0	0	
2.88675	0	0	0	
3.17543	0	0	0	
3.4641	0	0	0	
3.75278	0	0	0	
4.04145	0	0	0	
4.33013	0	0	0	
4.6188	0	0	0	
4.90748	0	0	0	
5.19615	0	0	0	
5.48483	0	0	0	
5.7735	3.18979e-05	0	5.52488e-05	
6.06218	0.000499581	0	0.000828468	
6.35085	0.00499629	0	0.00792963	
6.63953	0.0391303	0	0.0594944	
6.9282	0.243856	0	0.356441	
7.21688	1.23692	0	1.74539	
7.50555	5.27903	0	7.21786	
7.79423	19.4664	0	25.8736	
8.0829	63.0662	0	81.7515	
8.37158	181.584	0	230.368	
8.66025	469.366	0	584.955	
8.94893	1099.54	0	1351.31	
9.2376	2354.01	0	2864.06	
9.52628	4640.12	0	5611.79	
9.81495	8485.82	0	10243.7	
10.1036	14524.6	0	17567.9	
10.3923	23498.6	0	28564.7	
10.681	36308.5	0	44438.4	
10.9697	54132.8	0	66730.8	
11.2583	78601.4	0	97478.5	
11.547	111891	0	139298	
11.8357	156550	0	195245	
12.1244	215051	0	268442	
12.413	289333	0	361644	
12.7017	380442	0	476794	
12.9904	488204	0	614525	
13.2791	611087	0	773814	
13.5677	746451	0	951906	
13.8564	890452	0	1.14399e+06	
14.1451	1.03685e+06	0	1.34226e+06	
14.4338	1.17597e+06	0	1.53539e+06	
14.7224	1.29567e+06	0	1.70945e+06	
15.0111	1.38309e+06	0	1.8493e+06	
15.2998	1.42505e+06	0	1.93935e+06	
15.5885	1.4088e+06	0	1.96506e+06	
15.8771	1.32503e+06	0	1.91564e+06	
16.1658	1.16962e+06	0	1.78575e+06	
16.4545	941542	0	1.57489e+06	
16.7432	642347	0	1.288e+06	
17.0318	280773	0	938249	
17.3205	-125526	0	547021	
17.6092	-555824	0	139495	
17.8979	-990072	0	-258496	
18.1865	-1.40547e+06	0	-620449	
18.4752	-1.77665e+06	0	-921595	
18.7639	-2.08304e+06	0	-1.1442e+06	
19.0526	-2.31094e+06	0	-1.27911e+06	
19.3412	-2.44853e+06	0	-1.32374e+06	
19.6299	-2.48747e+06	0	-1.28278e+06	
19.9186	-2.42999e+06	0	-1.17045e+06	
20.2073	-2.28698e+06	0	-1.00781e+06	
20.4959	-2.0704e+06	0	-817245	
20.7846	-1.79368e+06	0	-620565	
21.0733	-1.47496e+06	0	-438507	
21.362	-1.13295e+06	0	-287709	
21.6506	-783407	0	-178245	
21.9393	-441555	0	-113908	
22.228	-121117	0	-92255.9	
22.5167	170161	0	-104590	
22.8053	427753	0	-138755	
23.094	645628	0	-182450	
23.3827	819945	0	-223903	
23.6714	952145	0	-252613	
23.96	1.04378e+06	0	-261950	
24.2487	1.09451e+06	0	-250223	
24.5374	1.10666e+06	0	-219424	
24.8261	1.0846e+06	0	-174587	
25.1147	1.03082e+06	0	-123341	
25.4034	948839	0	-73725.5	
25.6921	846052	0	-32283.2	
25.9808	729121	0	-3873.13	
26.2694	602490	0	8818.19	
26.5581	472648	0	6232.26	
26.8468	346650	0	-8595.7	
27.1355	227650	0	-31244.7	
27.4241	117747	0	-56357.5	
27.7128	20703.4	0	-78567	
28.0015	-62313.3	0	-94069.5	
28.2902	-133260	0	-100938	
28.5788	-191973	0	-98552.5	
28.8675	-236895	0	-87783	
29.1562	-269111	0	-71126.7	
29.4449	-289889	0	-51862.6	
29.7335	-298448	0	-33298.3	
30.0222	-295528	0	-18341.8	
30.3109	-283394	0	-8763.08	
30.5996	-262095	0	-4954.12	
30.8882	-231809	0	-6578.01	
31.1769	-196191	0	-12768.5	
31.4656	-158495	0	-21780.6	
31.7543	-119189	0	-31370.5	
32.0429	-79920.2	0	-39602.8	
32.3316	-43865.3	0	-45131.8	
32.6203	-12107.3	0	-47306.8	
32.909	15237.8	0	-46235.9	
33.1976	37111.5	0	-42385.2	
33.4863	54169.5	0	-36338.3	
33.775	68681.8	0	-29136.8	
34.0637	80641.4	0	-22204.7	
34.3523	88925.4	0	-16645.4	
34.641	94638.2	0	-12978.5	
34.9297	98759.5	0	-11361	
35.2184	99890.4	0	-11651	
35.507	97138.2	0	-13504.1	
35.7957	91097.7	0	-16525.9	
36.0844	81688.8	0	-20079.2	
36.3731	69155.3	0	-23244.2	
36.6617	55478.6	0	-25348.7	
36.9504	41901.5	0	-26244.2	
37.2391	28209.1	0	-25977.7	
37.5278	15424.8	0	-24622	
37.8164	5291.24	0	-22383.3	
38.1051	-2324.81	0	-19571.2	
38.3938	-8258.68	0	-16614.9	
38.6825	-12374	0	-14101.9	
38.9711	-15027	0	-12450.9	
39.2598	-17322.7	0	-11655.7	
39.5485	-19392	0	-11575.3	
39.8372	-21020.5	0	-12168.1	
40.1258	-22865.7	0	-13309.7	
40.4145	-25007.8	0	-14716.1	
40.7032	-26289.4	0	-16055	
40.9919	-26065.2	0	-16974.6	
41.2805	-24445.5	0	-17247	
41.5692	-21138.6	0	-16951.9	
41.8579	-16096.2	0	-16278.7	
42.1466	-10278.8	0	-15272.9	
42.4352	-4556.03	0	-13996.5	
42.7239	721.51	0	-12681.6	
43.0126	4840.64	0	-11576.7	
43.3013	7078.28	0	-10849.7	
43.5899	7667.91	0	-10575.7	
43.8786	7299.5	0	-10651.8	
44.1673	6428.05	0	-10896.5	
44.456	5597.74	0	-11266.8	
44.7446	5388.01	0	-11757.7	
45.0333	5849.24	0	-12211.7	
45.322	6767.13	0	-12447.9	
45.6107	8139.25	0	-12414	
45.8993	9770.26	0	-12134.4	
46.188	10983.2	0	-11699.8	
46.4767	11225.8	0	-11240.9	
46.7654	10471.3	0	-10783	
47.054	8857.32	0	-10285	
47.3427	6471.22	0	-9828.46	
47.6314	3581.5	0	-9544.49	
47.9201	649.195	0	-9435.49	
48.2087	-1872.79	0	-9431.1	
48.4974	-3507.05	0	-9473.95	
48.7861	-3839.99	0	-9505.11	
49.0748	-2970.37	0	-9522.82	
49.3634	-1507.34	0	-9582.7	
49.6521	46.4031	0	-9646.38	
49.9408	1421.61	0	-9602.15	
50.2295	2177.49	0	-9447.5	
50.5181	1891.44	0	-9264.57	
50.8068	661.937	0	-9088.11	
51.0955	-1077.26	0	-8921.49	
51.3842	-2877.09	0	-8754.13	
51.6728	-4168.15	0	-8544.73	
51.9615	-4493.29	0	-8314.4	
52.2502	-3927.94	0	-8161.39	
52.5389	-2735.96	0	-8101.8	
52.8275	-991.078	0	-8055.95	
53.1162	1009.77	0	-7997.13	
53.4049	2655.25	0	-7955.08	
53.6936	3624.12	0	-7941.1	
