time_value	hz	ex	ey	
0	0	0	0	
0.025	0	0	0	
0.05	0	0	0	
0.075	0	0	0	
0.1	0	0	0	
0.125	0	0	0	
0.15	0	0	0	
0.175	0	0	0	
0.2	0	0	0	
0.225	0	0	0	
0.25	0	0	0	
0.275	0	0	0	
0.3	0	0	0	
0.325	0	0	0	
0.35	0	0	0	
0.375	7.72988e-09	0	-1.54598e-08	
0.4	1.09531e-07	0	-2.03603e-07	
0.425	8.77744e-07	0	-1.53449e-06	
0.45	5.22984e-06	0	-8.64445e-06	
0.475	2.53969e-05	0	-3.98093e-05	
0.5	0.000104616	0	-0.000156023	
0.525	0.000373285	0	-0.000531462	
0.55	0.00116998	0	-0.00159486	
0.575	0.00326028	0	-0.0042662	
0.6	0.00816782	0	-0.0102847	
0.625	0.0185693	0	-0.0225518	
0.65	0.0385819	0	-0.0452965	
0.675	0.07363	0	-0.0837659	
0.7	0.129553	0	-0.143188	
0.725	0.210832	0	-0.22702	
0.75	0.318276	0	-0.33494	
0.775	0.446989	0	-0.461403	
0.8	0.585682	0	-0.595587	
0.825	0.718344	0	-0.723383	
0.85	0.828756	0	-0.831513	
0.875	0.906743	0	-0.9125	
0.9	0.952887	0	-0.96774	
0.925	0.978121	0	-1.00622	
0.95	0.997611	0	-1.03915	
0.975	1.02242	0	-1.07356	
1	1.05352	0	-1.1083	
1.025	1.08011	0	-1.13378	
1.05	1.08205	0	-1.13442	
1.075	1.03706	0	-1.0939	
1.1	0.932618	0	-1.00307	
1.125	0.774977	0	-0.865248	
1.15	0.583027	0	-0.691113	
1.175	0.368528	0	-0.486004	
1.2	0.123065	0	-0.242989	
1.225	-0.172907	0	0.05083	
1.25	-0.530925	0	0.403204	
1.275	-0.94942	0	0.813804	
1.3	-1.42505	0	1.28053	
1.325	-1.95781	0	1.80278	
1.35	-2.53908	0	2.37492	
1.375	-3.1464	0	2.98311	
1.4	-3.7652	0	3.61725	
1.425	-4.40903	0	4.28128	
1.45	-5.09826	0	4.98051	
1.475	-5.81801	0	5.70049	
1.5	-6.51684	0	6.40871	
1.525	-7.1532	0	7.07753	
1.55	-7.72567	0	7.69662	
1.575	-8.24541	0	8.25955	
1.6	-8.69263	0	8.74456	
1.625	-9.0192	0	9.11605	
1.65	-9.18718	0	9.34213	
1.675	-9.1805	0	9.40025	
1.7	-8.97758	0	9.26478	
1.725	-8.53851	0	8.90147	
1.75	-7.82957	0	8.27906	
1.775	-6.83887	0	7.37637	
1.8	-5.55417	0	6.1728	
1.825	-3.94249	0	4.64048	
1.85	-1.96788	0	2.75272	
1.875	0.38108	0	0.49553	
1.9	3.09607	0	-2.13408	
1.925	6.17189	0	-5.13639	
1.95	9.60641	0	-8.50802	
1.975	13.3827	0	-12.2343	
2	17.469	0	-16.289	
2.025	21.8324	0	-20.6386	
2.05	26.4317	0	-25.2388	
2.075	31.1968	0	-30.0265	
2.1	36.0313	0	-34.9213	
2.125	40.841	0	-39.8349	
2.15	45.5393	0	-44.6723	
2.175	50.0222	0	-49.3235	
2.2	54.1511	0	-53.6578	
2.225	57.7696	0	-57.5309	
2.25	60.7244	0	-60.7917	
2.275	62.8603	0	-63.2825	
2.3	64.0114	0	-64.8367	
2.325	64.0085	0	-65.2835	
2.35	62.6878	0	-64.4522	
2.375	59.8821	0	-62.1724	
2.4	55.4187	0	-58.2755	
2.425	49.14	0	-52.6051	
2.45	40.9245	0	-45.0254	
2.475	30.6786	0	-35.4226	
2.5	18.3198	0	-23.7041	
2.525	3.78636	0	-9.8049	
2.55	-12.9375	0	6.30072	
2.575	-31.8122	0	24.5926	
2.6	-52.7504	0	45.0031	
2.625	-75.6142	0	67.4122	
2.65	-100.202	0	91.641	
2.675	-126.25	0	117.448	
2.7	-153.436	0	144.53	
2.725	-181.375	0	172.514	
2.75	-209.599	0	200.958	
2.775	-237.561	0	229.345	
2.8	-264.656	0	257.094	
2.825	-290.231	0	283.562	
2.85	-313.57	0	308.048	
2.875	-333.9	0	329.792	
2.9	-350.403	0	347.992	
2.925	-362.24	0	361.815	
2.95	-368.554	0	370.404	
2.975	-368.483	0	372.899	
3	-361.191	0	368.451	
3.025	-345.885	0	356.246	
3.05	-321.826	0	335.516	
3.075	-288.342	0	305.567	
3.1	-244.872	0	265.803	
3.125	-190.995	0	215.749	
3.15	-126.448	0	155.079	
3.175	-51.1367	0	83.6338	
3.2	34.8309	-4.44089e-16	1.44974	
3.225	131.116	-8.88178e-16	-91.218	
3.25	237.133	-6.66134e-16	-193.875	
3.275	352.037	-7.32747e-15	-305.769	
3.3	474.696	-5.10703e-15	-425.873	
3.325	603.683	-3.10862e-15	-552.871	
3.35	737.274	-4.44089e-15	-685.155	
3.375	873.457	-9.76996e-15	-820.818	
3.4	1009.93	3.55271e-15	-957.662	
3.425	1144.09	3.19744e-14	-1093.2	
3.45	1273.07	5.32907e-14	-1224.68	
3.475	1393.79	3.90799e-14	-1349.09	
3.5	1502.95	-3.73035e-14	-1463.23	
3.525	1597.08	-9.9476e-14	-1563.7	
3.55	1672.63	-1.66978e-13	-1647	
3.575	1725.96	-3.05533e-13	-1709.52	
3.6	1753.48	-7.63833e-13	-1747.67	
3.625	1751.65	-1.69464e-12	-1757.9	
3.65	1717.11	-3.38218e-12	-1736.82	
3.675	1646.76	-6.41265e-12	-1681.24	
3.7	1537.83	-1.19407e-11	-1588.27	
3.725	1387.98	-2.21014e-11	-1455.43	
3.75	1195.38	-3.98863e-11	-1280.73	
3.775	958.851	-7.01235e-11	-1062.73	
3.8	677.889	-1.20362e-10	-800.688	
3.825	352.801	-2.01343e-10	-494.618	
3.85	-15.2358	-3.2791e-10	-145.361	
3.875	-424.095	-5.2013e-10	245.323	
3.9	-870.646	-8.03253e-10	674.703	
3.925	-1350.71	-1.20643e-09	1139.02	
3.95	-1859.03	-1.76034e-09	1633.47	
3.975	-2389.26	-2.49274e-09	2152.14	
4	-2933.93	-3.42082e-09	2688.07	
4.025	-3484.56	-4.54034e-09	3233.23	
4.05	-4031.66	-5.81346e-09	3778.59	
4.075	-4564.79	-7.15616e-09	4314.19	
4.1	-5072.74	-8.4288e-09	4829.2	
4.125	-5543.59	-9.43364e-09	5312.11	
4.15	-5964.88	-9.92445e-09	5750.79	
4.175	-6323.85	-9.63242e-09	6132.76	
4.2	-6607.58	-8.31021e-09	6445.31	
4.225	-6803.26	-5.79087e-09	6675.74	
4.25	-6898.45	-2.05304e-09	6811.65	
4.275	-6881.33	2.72189e-09	6841.14	
4.3	-6740.98	8.1213e-09	6753.11	
4.325	-6467.7	1.35215e-08	6537.54	
4.35	-6053.3	1.81719e-08	6185.82	
4.375	-5491.39	2.13396e-08	5690.99	
4.4	-4777.68	2.25e-08	5048.05	
4.425	-3910.26	2.15282e-08	4254.26	
4.45	-2889.85	1.88312e-08	3309.36	
4.475	-1720.06	1.53627e-08	2215.84	
4.5	-407.543	1.24756e-08	979.125	
4.525	1037.81	1.16077e-08	-392.225	
4.55	2602.77	1.38559e-08	-1886.43	
4.575	4270.7	1.955e-08	-3488.4	
4.6	6021.6	2.79663e-08	-5179.71	
4.625	7832.11	3.73137e-08	-6938.65	
4.65	9675.71	4.50649e-08	-8740.36	
4.675	11522.9	4.85941e-08	-10556.9	
4.7	13341.4	4.59548e-08	-12357.8	
4.725	15096.7	3.65362e-08	-14110	
4.75	16752.4	2.13186e-08	-15778.4	
4.775	18270.5	2.54391e-09	-17326.4	
4.8	19612.6	-1.71937e-08	-18716.6	
4.825	20739.6	-3.61988e-08	-19911	
4.85	21613.2	-5.48344e-08	-20871.9	
4.875	22196.5	-7.60988e-08	-21562.6	
4.9	22454.4	-1.05287e-07	-21948.2	
4.925	22354.8	-1.48711e-07	-21996.2	
4.95	21869.2	-2.11819e-07	-21677.6	
4.975	20973.7	-2.97399e-07	-20967.3	
5	19649.7	-4.0458e-07	-19845.3	
5.025	17884.6	-5.2908e-07	-18297.3	
5.05	15672.6	-6.64627e-07	-16315	
5.075	13015.5	-8.0497e-07	-13897.7	
5.1	9922.89	-9.45481e-07	-11051.8	
5.125	6412.92	-1.08348e-06	-7791.98	
5.15	2512.49	-1.21696e-06	-4141.42	
5.175	-1742.53	-1.34205e-06	-131.834	
5.2	-6307.25	-1.45073e-06	4196.28	
5.225	-11127.9	-1.52976e-06	8793.75	
5.25	-16142.1	-1.56227e-06	13603	
5.275	-21279.5	-1.53144e-06	18558.3	
5.3	-26462	-1.42535e-06	23586.5	
5.325	-31605.1	-1.24061e-06	28608	
5.35	-36618.7	-9.83136e-07	33537.2	
5.375	-41408.3	-6.65052e-07	38283.9	
5.4	-45876.5	-2.98949e-07	42754.6	
5.425	-49924.2	1.08297e-07	46853.9	
5.45	-53452.7	5.59179e-07	50485.9	
5.475	-56365.2	1.06478e-06	53556.3	
5.5	-58568.6	1.63956e-06	55973.6	
5.525	-59975.6	2.2939e-06	57651.4	
5.55	-60506.7	3.02775e-06	58510.1	
5.575	-60091.9	3.82837e-06	58478.6	
5.6	-58672.6	4.67327e-06	57496.6	
5.625	-56203.7	5.53694e-06	55515.8	
5.65	-52654.8	6.39823e-06	52501.9	
5.675	-48012.4	7.24452e-06	48436.2	
5.7	-42280.5	8.07089e-06	43316.6	
5.725	-35482.1	8.87436e-06	37159	
5.75	-27660	9.64579e-06	29998	
5.775	-18877	1.03631e-05	21887.6	
5.8	-9216.7	1.09883e-05	12901.3	
5.825	1217.49	1.14696e-05	3132.17	
5.85	12302.3	1.1748e-05	-7307.58	
5.875	23895.8	1.17656e-05	-18287.5	
5.9	35838.7	1.14743e-05	-29660	
5.925	47956	1.08417e-05	-41262	
5.95	60059.4	9.85327e-06	-52916.7	
5.975	71949.2	8.50821e-06	-64435.9	
6	83417.9	6.81035e-06	-75622.8	
6.025	94252.5	4.75444e-06	-86274.6	
6.05	104239	2.31388e-06	-96186	
6.075	113164	-5.63479e-07	-105152	
6.1	120821	-3.94541e-06	-112974	
6.125	127013	-7.8907e-06	-119457	
6.15	131557	-1.24173e-05	-124424	
6.175	134286	-1.74781e-05	-127707	
6.2	135056	-2.29588e-05	-129163	
6.225	133746	-2.87056e-05	-128669	
6.25	130265	-3.45733e-05	-126128	
6.275	124554	-4.04707e-05	-121473	
6.3	116585	-4.63772e-05	-114668	
6.325	106370	-5.2312e-05	-105712	
6.35	93956.5	-5.82658e-05	-94639.4	
