time_value	hz	ex	ey	
0	0	0	0	
0.0288675	0	0	0	
0.057735	0	0	0	
0.0866025	0	0	0	
0.11547	0	0	0	
0.144338	0	0	0	
0.173205	0	0	0	
0.202073	0	0	0	
0.23094	0	0	0	
0.259808	0	0	0	
0.288675	0	0	0	
0.317543	0	0	0	
0.34641	0	0	0	
0.375278	0	0	0	
0.404145	0.00667796	0	0.0115666	
0.433013	0.0736249	0	0.119811	
0.46188	0.439	0	0.685637	
0.490748	1.96062	0	2.98435	
0.519615	7.20707	0	10.712	
0.548483	22.0489	0	31.8735	
0.57735	56.5424	0	79.3275	
0.606218	124.384	0	169.474	
0.635085	240.896	0	319.378	
0.663953	415.903	0	538.31	
0.69282	638.616	0	812.404	
0.721688	867.802	0	1099.05	
0.750555	1044.32	0	1344.43	
0.779423	1110.61	0	1499.68	
0.80829	1018.44	0	1518.53	
0.837158	760.762	0	1382.06	
0.866025	432.554	0	1157.24	
0.894893	198.794	0	974.304	
0.92376	136.469	0	898.383	
0.952628	184.04	0	895.453	
0.981495	294.786	0	950.38	
1.01036	468.592	0	1068.56	
1.03923	568.772	0	1124.51	
1.0681	404.51	0	943.326	
1.09697	99.6345	0	592.244	
1.12583	-23.745	0	300.335	
1.1547	-19.8165	0	56.7969	
1.18357	-232.154	0	-332.852	
1.21244	-588.844	0	-796.342	
1.2413	-704.99	0	-1074.61	
1.27017	-688.379	0	-1220.74	
1.29904	-976.995	0	-1495.02	
1.32791	-1441.28	0	-1850.25	
1.35677	-1605.08	0	-2076.78	
1.38564	-1593	0	-2306.62	
1.41451	-1872.57	0	-2808.08	
1.44338	-2336.46	0	-3474.6	
1.47224	-2584.41	0	-4031.04	
1.50111	-2732.16	0	-4504.64	
1.52998	-3114.36	0	-5059.16	
1.55885	-3628.14	0	-5645.65	
1.58771	-4000.4	0	-6166.34	
1.61658	-4252.15	0	-6702.79	
1.64545	-4518.94	0	-7335.06	
1.67432	-4826.21	0	-7990.59	
1.70318	-5170	0	-8610.96	
1.73205	-5509.37	0	-9238.44	
1.76092	-5776	0	-9875.23	
1.78979	-6041.4	0	-10458.1	
1.81865	-6399.95	0	-10999.9	
1.84752	-6716.26	0	-11587.3	
1.87639	-6863.98	0	-12214	
1.90526	-7005.78	0	-12759.4	
1.93412	-7241.33	0	-13173.7	
1.96299	-7345.16	0	-13542.1	
1.99186	-7207.16	0	-13891.5	
2.02073	-7056.39	0	-14101.8	
2.04959	-6987.68	0	-14122.3	
2.07846	-6812.69	0	-14083.6	
2.10733	-6532.73	0	-14055.6	
2.1362	-6373.77	0	-13912.5	
2.16506	-6279.04	0	-13571.2	
2.19393	-5940.98	-6.82121e-13	-13117.3	
2.2228	-5344.12	-5.91172e-12	-12588.5	
2.25167	-4734.79	-3.61524e-11	-11882.2	
2.28053	-4106.58	-1.72804e-10	-10942.8	
2.3094	-3247.28	-7.05086e-10	-9820.14	
2.33827	-2215.33	-2.54295e-09	-8533.5	
2.36714	-1251.38	-8.25446e-09	-7051.01	
2.396	-316.032	-2.44084e-08	-5366.25	
2.42487	793.957	-6.62647e-08	-3494.35	
2.45374	2018.14	-1.66006e-07	-1459.42	
2.48261	3197.51	-3.84962e-07	707.109	
2.51147	4458.54	-8.27532e-07	3038.23	
2.54034	5974.23	-1.64881e-06	5622.79	
2.56921	7605.41	-3.03945e-06	8458.62	
2.59808	9195.02	-5.16418e-06	11464	
2.62694	10897	-8.0336e-06	14652.5	
2.65581	12851	-1.13165e-05	18084.1	
2.68468	14887.6	-1.41611e-05	21680.6	
2.71355	16845	-1.51766e-05	25330.1	
2.74241	18821	-1.27809e-05	29080.9	
2.77128	20902.4	-6.05261e-06	33000.8	
2.80015	22985.1	4.04621e-06	37009.3	
2.82902	25001.3	1.36813e-05	41045.6	
2.85788	27034.1	1.64317e-05	45180.4	
2.88675	29135.1	5.84559e-06	49405.7	
2.91562	31250.8	-1.97336e-05	53574.1	
2.94449	33335.9	-5.20327e-05	57648.4	
2.97335	35365.6	-7.14008e-05	61729.5	
3.00222	37276.6	-5.33027e-05	65789.9	
3.03109	39038.1	1.63177e-05	69661.6	
3.05996	40699.2	0.000122736	73289.3	
3.08882	42252.3	0.000214036	76727.9	
3.11769	43582	0.000215925	79923.6	
3.14656	44638.4	7.18381e-05	82735.4	
3.17543	45479	-0.000211126	85130.3	
3.20429	46081.5	-0.000549657	87157.2	
3.23316	46362.8	-0.000844226	88774.3	
3.26203	46376.1	-0.0011199	89860.7	
3.2909	46191.3	-0.00170582	90359.1	
3.31976	45672.2	-0.00337807	90276.5	
3.34863	44692.5	-0.0074153	89573.9	
3.3775	43363.3	-0.0156061	88159.4	
3.40637	41733.3	-0.0303457	85988.3	
3.43523	39608.1	-0.0549728	83075.7	
3.4641	36937.4	-0.0943523	79399.4	
3.49297	33924.3	-0.15544	74873.4	
3.52184	30569.2	-0.247336	69437.8	
3.5507	26634.7	-0.38034	63093	
3.57957	22129.8	-0.563888	55832	
3.60844	17279.8	-0.803798	47625	
3.63731	12064	-1.09968	38476.2	
3.66617	6296.67	-1.44342	28421.3	
3.69504	13.3934	-1.81941	17475.8	
3.72391	-6652.77	-2.20652	5638.2	
3.75278	-13757.9	-2.58169	-7094.97	
3.78164	-21376.2	-2.92452	-20732.4	
3.81051	-29388.8	-3.22169	-35245.8	
3.83938	-37676.1	-3.4694	-50546.5	
3.86825	-46282.5	-3.67087	-66575.7	
3.89711	-55230.9	-3.82704	-83340	
3.92598	-64389.8	-3.9218	-100780	
3.95485	-73651.9	-3.90828	-118733	
3.98372	-83063.8	-3.70656	-137090	
4.01258	-92658.8	-3.22174	-155825	
4.04145	-102321	-2.38365	-174839	
4.07032	-111935	-1.19608	-193960	
4.09919	-121497	0.229354	-213080	
4.12805	-130955	1.68143	-232126	
4.15692	-140144	2.9114	-250932	
4.18579	-148968	3.73467	-269315	
4.21466	-157421	4.1327	-287156	
4.24352	-165413	4.3024	-304299	
4.27239	-172817	4.61028	-320527	
4.30126	-179614	5.4476	-335690	
4.33013	-185759	7.04006	-349682	
4.35899	-191080	9.30446	-362302	
4.38786	-195512	11.8381	-373319	
4.41673	-199119	14.0748	-382628	
4.4456	-201790	15.561	-390143	
4.47446	-203274	16.2232	-395658	
4.50333	-203540	16.4673	-398956	
4.5322	-202681	17.0204	-399927	
4.56107	-200577	18.5792	-398464	
4.58993	-197040	21.4426	-394398	
4.6188	-192100	25.3251	-387582	
4.64767	-185812	29.4619	-377927	
4.67654	-178047	32.9661	-365337	
4.7054	-168715	35.2354	-349711	
4.73427	-157904	36.158	-330980	
4.76314	-145626	36.0175	-309091	
4.79201	-131774	35.2215	-284000	
4.82087	-116375	34.0671	-255705	
4.84974	-99564	32.6717	-224246	
4.87861	-81317.8	31.0739	-189666	
4.90748	-61555.5	29.3945	-152029	
4.93634	-40409.3	27.8648	-111429	
4.96521	-18073.3	26.6241	-67984.3	
4.99408	5480.96	25.4521	-21813.6	
5.02295	30316.7	23.7553	26951.1	
5.05181	56245.4	20.9056	78145.3	
5.08068	83030.4	16.6677	131549	
5.10955	110638	11.365	186911	
5.13842	139015	5.6902	243988	
5.16728	167907	0.29586	302516	
5.19615	197121	-4.64014	362146	
5.22502	226645	-9.61188	422516	
5.25389	256363	-15.4189	483337	
5.28275	285989	-22.3737	544292	
5.31162	315344	-30.0093	604957	
5.34049	344335	-37.8822	664909	
5.36936	372713	-46.3815	723804	
5.39823	400182	-56.1178	781236	
5.42709	426615	-66.8116	836704	
5.45596	451910	-77.728	889753	
5.48483	475802	-88.7745	939979	
5.5137	498058	-99.7376	986899	
5.54256	518584	-109.165	1.03004e+06	
5.57143	537219	-116.428	1.06904e+06	
5.6003	553675	-124.092	1.10354e+06	
5.62917	567770	-134.647	1.13307e+06	
5.65803	579457	-145.77	1.1572e+06	
5.6869	588588	-153.908	1.17563e+06	
5.71577	594896	-161.357	1.18801e+06	
5.74464	598236	-172.29	1.1939e+06	
5.7735	598609	-183.036	1.19302e+06	
5.80237	595926	-187.088	1.18521e+06	
5.83124	589979	-188.868	1.17024e+06	
5.86011	580679	-197.803	1.14786e+06	
5.88897	568079	-209.003	1.11793e+06	
5.91784	552146	-209.539	1.08039e+06	
5.94671	532751	-204.499	1.03512e+06	
5.97558	509896	-210.515	982085	
6.00444	483708	-221.15	921366	
6.03331	454209	-213.212	853081	
6.06218	421382	-192.738	777346	
6.09105	385380	-190.666	694376	
6.11991	346384	-203.046	604452	
6.14878	304392	-190.42	507851	
6.17765	259417	-152.444	404887	
6.20652	211717	-136.356	295971	
6.23538	161573	-147.447	181560	
6.26425	109073	-130.468	62140.2	
6.29312	54365.5	-73.9436	-61738.5	
6.32199	-2170.79	-40.9301	-189459	
6.35085	-60202.3	-50.0945	-320374	
6.37972	-119603	-30.128	-453784	
6.40859	-180207	47.6188	-588936	
6.43746	-241659	105.189	-725072	
6.46632	-303587	101.166	-861445	
6.49519	-365723	116.14	-997269	
6.52406	-427818	204.872	-1.13171e+06	
6.55293	-489562	288.033	-1.26393e+06	
6.58179	-550598	297.184	-1.39309e+06	
6.61066	-610569	304.622	-1.51831e+06	
6.63953	-669205	389.635	-1.63871e+06	
6.6684	-726290	490.904	-1.75342e+06	
6.69726	-781482	520.775	-1.86161e+06	
6.72613	-834340	524.431	-1.96252e+06	
6.755	-884589	592.303	-2.05536e+06	
6.78387	-932097	697.209	-2.13935e+06	
6.81273	-976566	749.219	-2.2138e+06	
6.8416	-1.01755e+06	752.872	-2.27805e+06	
6.87047	-1.05482e+06	789.142	-2.33143e+06	
6.89934	-1.08831e+06	874.704	-2.37329e+06	
6.9282	-1.1178e+06	942.29	-2.40315e+06	
6.95707	-1.14297e+06	954.141	-2.4206e+06	
6.98594	-1.16364e+06	956.201	-2.42525e+06	
7.01481	-1.17978e+06	1001.07	-2.41674e+06	
7.04367	-1.19124e+06	1066.04	-2.39487e+06	
7.07254	-1.1978e+06	1087.54	-2.35948e+06	
7.10141	-1.19931e+06	1060.97	-2.31043e+06	
7.13028	-1.19577e+06	1051.28	-2.24772e+06	
7.15914	-1.18715e+06	1087.41	-2.17146e+06	
7.18801	-1.1734e+06	1108.77	-2.0818e+06	
7.21688	-1.15448e+06	1063.37	-1.97896e+06	
7.24575	-1.13046e+06	997.132	-1.86334e+06	
7.27461	-1.1014e+06	976.32	-1.7354e+06	
7.30348	-1.06735e+06	974.666	-1.5956e+06	
7.33235	-1.02835e+06	919.801	-1.4445e+06	
7.36122	-984506	813.363	-1.28281e+06	
7.39008	-935924	721.16	-1.1113e+06	
7.41895	-882771	664.12	-930689	
7.44782	-825284	592.48	-741878	
7.47669	-763664	467.29	-545869	
7.50555	-698018	314.732	-343674	
7.53442	-628554	184.091	-136341	
7.56329	-555625	76.6914	74965.7	
7.59216	-479460	-56.9983	289064	
7.62102	-400152	-243.778	504820	
7.64989	-317989	-441.674	721052	
7.67876	-233433	-601.644	936498	
7.70763	-146770	-747.892	1.14992e+06	
7.73649	-58160.5	-940.119	1.36013e+06	
7.76536	32055.3	-1173.49	1.56588e+06	
7.79423	123442	-1384.86	1.76586e+06	
7.8231	215716	-1554.74	1.95886e+06	
7.85196	308617	-1734.39	2.14374e+06	
7.88083	401773	-1960.19	2.31935e+06	
7.9097	494864	-2197.49	2.48459e+06	
7.93857	587637	-2394.03	2.6384e+06	
7.96743	679703	-2554.73	2.77984e+06	
7.9963	770638	-2731.09	2.90796e+06	
8.02517	860207	-2943.17	3.02191e+06	
8.05404	948192	-3145.13	3.12089e+06	
