time_value	hz	ex	ey	
0	0	0	0	
0.025	0	0	0	
0.05	0	0	0	
0.075	0	0	0	
0.1	0	0	0	
0.125	0	0	0	
0.15	0	0	0	
0.175	0	0	0	
0.2	0	0	0	
0.225	0	0	0	
0.25	0	0	0	
0.275	0	0	0	
0.3	0	0	0	
0.325	0	0	0	
0.35	0	0	0	
0.375	7.72988e-09	0	-1.54598e-08	
0.4	1.09531e-07	0	-2.03603e-07	
0.425	7.85951e-07	0	-1.37796e-06	
0.45	3.81031e-06	0	-6.39021e-06	
0.475	1.42025e-05	0	-2.31492e-05	
0.5	4.44274e-05	0	-7.1618e-05	
0.525	0.000124595	0	-0.000201451	
0.55	0.000325845	0	-0.000531468	
0.575	0.000803042	0	-0.00132067	
0.6	0.00185482	0	-0.00307366	
0.625	0.0039939	0	-0.00668459	
0.65	0.00803128	0	-0.0136376	
0.675	0.015185	0	-0.0262726	
0.7	0.0271775	0	-0.0480393	
0.725	0.0462033	0	-0.08357	
0.75	0.0746872	0	-0.138478	
0.775	0.11497	0	-0.219024	
0.8	0.169196	0	-0.331852	
0.825	0.239404	0	-0.483708	
0.85	0.327416	0	-0.680798	
0.875	0.434281	0	-0.927858	
0.9	0.559869	0	-1.22775	
0.925	0.703404	0	-1.58228	
0.95	0.864429	0	-1.99327	
0.975	1.04225	0	-2.46207	
1	1.2335	0	-2.98727	
1.025	1.4306	0	-3.56352	
1.05	1.62395	0	-4.18293	
1.075	1.80562	0	-4.83716	
1.1	1.96947	0	-5.51657	
1.125	2.1068	0	-6.20671	
1.15	2.20383	0	-6.88702	
1.175	2.24609	0	-7.5349	
1.2	2.22502	0	-8.13062	
1.225	2.13688	0	-8.65611	
1.25	1.97454	0	-9.08874	
1.275	1.72454	0	-9.39965	
1.3	1.37584	0	-9.55944	
1.325	0.928954	0	-9.54375	
1.35	0.392078	0	-9.33147	
1.375	-0.231051	0	-8.89842	
1.4	-0.945124	0	-8.21461	
1.425	-1.75321	0	-7.24911	
1.45	-2.64639	0	-5.97691	
1.475	-3.60778	0	-4.37875	
1.5	-4.62499	0	-2.43542	
1.525	-5.69322	0	-0.126534	
1.55	-6.80602	0	2.56468	
1.575	-7.9485	0	5.64685	
1.6	-9.10091	0	9.11938	
1.625	-10.2444	0	12.9727	
1.65	-11.3606	0	17.1887	
1.675	-12.4273	0	21.7403	
1.7	-13.4166	0	26.588	
1.725	-14.2964	0	31.6767	
1.75	-15.032	0	36.9353	
1.775	-15.5848	0	42.2769	
1.8	-15.9117	0	47.6002	
1.825	-15.966	0	52.788	
1.85	-15.6989	0	57.7062	
1.875	-15.0593	0	62.2039	
1.9	-13.996	0	66.115	
1.925	-12.4591	0	69.261	
1.95	-10.4013	0	71.4517	
1.975	-7.77777	0	72.4874	
2	-4.54909	0	72.1617	
2.025	-0.684807	0	70.265	
2.05	3.83387	0	66.5889	
2.075	9.01359	0	60.9304	
2.1	14.8477	0	53.0974	
2.125	21.3126	0	42.9148	
2.15	28.3647	0	30.2315	
2.175	35.9397	0	14.9263	
2.2	43.9521	0	-3.08482	
2.225	52.2928	0	-23.8404	
2.25	60.8273	0	-47.3261	
2.275	69.3969	0	-73.4685	
2.3	77.8205	0	-102.129	
2.325	85.8945	0	-133.096	
2.35	93.392	0	-166.08	
2.375	100.065	0	-200.706	
2.4	105.648	0	-236.513	
2.425	109.864	0	-272.95	
2.45	112.424	0	-309.37	
2.475	113.034	0	-345.037	
2.5	111.397	0	-379.121	
2.525	107.225	0	-410.703	
2.55	100.24	0	-438.786	
2.575	90.1845	0	-462.298	
2.6	76.8262	0	-480.107	
2.625	59.9701	0	-491.037	
2.65	39.4664	0	-493.881	
2.675	15.2187	0	-487.43	
2.7	-12.8076	0	-470.489	
2.725	-44.5739	0	-441.909	
2.75	-79.9589	0	-400.618	
2.775	-118.75	0	-345.652	
2.8	-160.635	0	-276.189	
2.825	-205.197	0	-191.588	
2.85	-251.904	0	-91.424	
2.875	-300.11	0	24.4728	
2.9	-349.046	0	155.98	
2.925	-397.829	0	302.646	
2.95	-445.456	0	463.661	
2.975	-490.814	0	637.819	
3	-532.688	0	823.5	
3.025	-569.773	0	1018.64	
3.05	-600.689	0	1220.73	
3.075	-624.001	0	1426.78	
3.1	-638.24	0	1633.35	
3.125	-641.933	0	1836.55	
3.15	-633.627	0	2032.06	
3.175	-611.927	0	2215.14	
3.2	-575.529	0	2380.71	
3.225	-523.26	0	2523.38	
3.25	-454.117	0	2637.52	
3.275	-367.309	0	2717.37	
3.3	-262.297	0	2757.08	
3.325	-138.841	0	2750.89	
3.35	2.96459	0	2693.17	
3.375	162.647	0	2578.62	
3.4	339.324	-1.42109e-14	2402.37	
3.425	531.67	0	2160.13	
3.45	737.889	-2.84217e-14	1848.35	
3.475	955.696	-2.84217e-14	1464.37	
3.5	1182.3	2.84217e-14	1006.6	
3.525	1414.42	5.68434e-14	474.619	
3.55	1648.26	0	-130.619	
3.575	1879.56	-5.68434e-14	-806.68	
3.6	2103.58	0	-1549.51	
3.625	2315.21	0	-2353.36	
3.65	2508.97	0	-3210.63	
3.675	2679.07	4.26326e-14	-4111.9	
3.7	2819.55	1.56319e-13	-5045.81	
3.725	2924.31	2.84217e-13	-5999.15	
3.75	2987.27	5.25802e-13	-6956.82	
3.775	3002.45	1.01608e-12	-7901.97	
3.8	2964.12	1.8332e-12	-8816.07	
3.825	2866.92	3.39639e-12	-9679.15	
3.85	2706.03	6.0254e-12	-10469.9	
3.875	2477.32	1.04592e-11	-11166.2	
3.9	2177.48	1.79057e-11	-11744.9	
3.925	1804.2	2.99565e-11	-12182.8	
3.95	1356.31	4.88853e-11	-12456.7	
3.975	833.94	7.71365e-11	-12543.9	
4	238.625	1.17382e-10	-12422.7	
4.025	-426.544	1.72463e-10	-12072.7	
4.05	-1156.83	2.44313e-10	-11475.9	
4.075	-1945.76	3.32136e-10	-10616.5	
4.1	-2785.09	4.3093e-10	-9481.95	
4.125	-3664.76	5.30008e-10	-8063.51	
4.15	-4572.88	6.10726e-10	-6356.46	
4.175	-5495.84	6.45059e-10	-4360.86	
4.2	-6418.33	5.96287e-10	-2081.94	
4.225	-7323.45	4.21551e-10	469.469	
4.25	-8192.97	7.7705e-11	3276.57	
4.275	-9007.41	-4.67878e-10	6316.34	
4.3	-9746.41	-1.22566e-09	9559.33	
4.325	-10388.9	-2.16971e-09	12969.6	
4.35	-10913.7	-3.22632e-09	16504.7	
4.375	-11299.3	-4.26797e-09	20115.9	
4.4	-11525.1	-5.12011e-09	23748.4	
4.425	-11571.3	-5.58265e-09	27341.7	
4.45	-11419.2	-5.46731e-09	30830.4	
4.475	-11052.4	-4.64593e-09	34144.6	
4.5	-10456.5	-3.09888e-09	37211.1	
4.525	-9620.07	-9.519e-10	39953.9	
4.55	-8534.99	1.5151e-09	42296	
4.575	-7196.89	3.9023e-09	44160.1	
4.6	-5605.64	5.76847e-09	45470.2	
4.625	-3765.65	6.74481e-09	46153.2	
4.65	-1686.3	6.65864e-09	46140.1	
4.675	617.851	5.62613e-09	45368	
4.7	3126.85	4.07772e-09	43781.5	
4.725	5815.22	2.68869e-09	41334.4	
4.75	8651.97	2.21576e-09	37991.3	
4.775	11600.7	3.27441e-09	33729.2	
4.8	14619.6	6.11863e-09	28539	
4.825	17662.2	1.05076e-08	22426.7	
4.85	20677.3	1.5732e-08	15414.7	
4.875	23609.9	2.08202e-08	7542.56	
4.9	26401.5	2.48863e-08	-1131.95	
4.925	28991.4	2.75122e-08	-10532.6	
4.95	31317.1	2.90338e-08	-20564.6	
4.975	33315.5	3.05881e-08	-31114.4	
5	34924.2	3.38581e-08	-42050.6	
5.025	36082.5	4.05649e-08	-53224.6	
5.05	36732.4	5.1857e-08	-64472	
5.075	36820.3	6.7796e-08	-75613.8	
5.1	36298.3	8.71539e-08	-86458.9	
5.125	35125.1	1.07596e-07	-96806.3	
5.15	33267.7	1.26187e-07	-106448	
5.175	30702.6	1.40015e-07	-115171	
5.2	27416.6	1.46662e-07	-122762	
5.225	23408.4	1.44298e-07	-129012	
5.25	18689.1	1.31401e-07	-133716	
5.275	13283.3	1.06269e-07	-136681	
5.3	7229.16	6.6681e-08	-137731	
5.325	579.467	1.00399e-08	-136704	
5.35	-6598.79	-6.58883e-08	-133466	
5.375	-14224.3	-1.61796e-07	-127907	
5.4	-22201.9	-2.75705e-07	-119950	
5.425	-30423.3	-4.0246e-07	-109549	
5.45	-38767.7	-5.3424e-07	-96697.9	
5.475	-47103.7	-6.62108e-07	-81431	
5.5	-55290.3	-7.78062e-07	-63823.7	
5.525	-63178.7	-8.76816e-07	-43995.6	
5.55	-70615	-9.56475e-07	-22110.8	
5.575	-77441.8	-1.01773e-06	1621.52	
5.6	-83501.4	-1.06184e-06	26947.9	
5.625	-88637.9	-1.08826e-06	53572.2	
5.65	-92700.8	-1.09304e-06	81157.5	
5.675	-95547.3	-1.06889e-06	109329	
5.7	-97046	-1.00689e-06	137680	
5.725	-97079.4	-8.99402e-07	165774	
5.75	-95547.2	-7.4275e-07	193149	
5.775	-92369.3	-5.38572e-07	219331	
5.8	-87488.2	-2.93037e-07	243833	
5.825	-80871.5	-1.42736e-08	266166	
5.85	-72514.5	2.91029e-07	285848	
5.875	-62441.7	6.20323e-07	302410	
5.9	-50708	9.7598e-07	315407	
5.925	-37400.2	1.36366e-06	324425	
5.95	-22637.3	1.78873e-06	329091	
5.975	-6570.03	2.25202e-06	329082	
6	10619.3	2.74656e-06	324131	
6.025	28718.3	3.25678e-06	314036	
6.05	47486.4	3.76091e-06	298667	
6.075	66657.1	4.23598e-06	277972	
6.1	85941.3	4.66399e-06	251983	
6.125	105031	5.03672e-06	220817	
6.15	123603	5.35661e-06	184681	
6.175	141323	5.63255e-06	143874	
6.2	157855	5.8709e-06	98784.8	
6.225	172860	6.06505e-06	49889.4	
6.25	186006	6.18829e-06	-2249.51	
6.275	196975	6.19432e-06	-56989.9	
6.3	205467	6.02721e-06	-113616	
6.325	211205	5.63805e-06	-171348	
6.35	213944	5.00129e-06	-229349	
6.375	213476	4.12249e-06	-286740	
6.4	209634	3.03197e-06	-342610	
6.425	202298	1.76547e-06	-396030	
6.45	191402	3.40128e-07	-446066	
6.475	176931	-1.26129e-06	-491797	
6.5	158933	-3.08777e-06	-532332	
6.525	137514	-5.19718e-06	-566818	
6.55	112842	-7.62266e-06	-594467	
