time_value	hz	ex	ey	
0	0	0	0	
0.288675	0	0	0	
0.57735	0	0	0	
0.866025	0	0	0	
1.1547	0	0	0	
1.44338	0	0	0	
1.73205	0	0	0	
2.02073	0	0	0	
2.3094	0	0	0	
2.59808	0	0	0	
2.88675	0	0	0	
3.17543	0	0	0	
3.4641	0	0	0	
3.75278	0	0	0	
4.04145	0	0	0	
4.33013	0	0	0	
4.6188	0	0	0	
4.90748	0	0	0	
5.19615	0	0	0	
5.48483	0	0	0	
5.7735	0.0015362	0	0.00266077	
6.06218	0.024226	0	0.0401868	
6.35085	0.243486	0	0.386661	
6.63953	1.91504	0	2.91405	
6.9282	12.0159	0	17.5637	
7.21688	61.5889	0	86.6998	
7.50555	266.459	0	362.037	
7.79423	998.69	0	1312.29	
8.0829	3297.65	0	4199.29	
8.37158	9707.95	0	12006.6	
8.66025	25745.5	0	30997	
8.94893	62091.7	0	72953.3	
9.2376	137312	0	157858	
9.52628	280500	0	316449	
9.81495	533216	0	592204	
10.1036	950758	0	1.04301e+06	
10.3923	1.60363e+06	0	1.74351e+06	
10.681	2.58085e+06	0	2.78945e+06	
10.9697	3.9971e+06	0	4.30545e+06	
11.2583	6.00384e+06	0	6.45527e+06	
11.547	8.79814e+06	0	9.44824e+06	
11.8357	1.26177e+07	0	1.35321e+07	
12.1244	1.77169e+07	0	1.89682e+07	
12.413	2.43254e+07	0	2.59921e+07	
12.7017	3.25932e+07	0	3.47611e+07	
12.9904	4.25284e+07	0	4.52957e+07	
13.2791	5.39484e+07	0	5.74308e+07	
13.5677	6.64601e+07	0	7.07851e+07	
13.8564	7.94375e+07	0	8.47322e+07	
14.1451	9.19785e+07	0	9.8362e+07	
14.4338	1.02895e+08	0	1.1048e+08	
14.7224	1.10792e+08	0	1.19682e+08	
15.0111	1.14191e+08	0	1.24478e+08	
15.2998	1.11679e+08	0	1.23444e+08	
15.5885	1.02131e+08	0	1.15437e+08	
15.8771	8.50062e+07	0	9.98522e+07	
16.1658	6.05012e+07	0	7.67822e+07	
16.4545	2.95245e+07	0	4.704e+07	
16.7432	-6.30377e+06	0	1.21753e+07	
17.0318	-4.46065e+07	0	-2.55355e+07	
17.3205	-8.24623e+07	0	-6.32975e+07	
17.6092	-1.16871e+08	0	-9.8183e+07	
17.8979	-1.45094e+08	0	-1.27463e+08	
18.1865	-1.64853e+08	0	-1.48864e+08	
18.4752	-1.74691e+08	0	-1.6089e+08	
18.7639	-1.74308e+08	0	-1.63086e+08	
19.0526	-1.64459e+08	0	-1.55989e+08	
19.3412	-1.46614e+08	0	-1.4092e+08	
19.6299	-1.2286e+08	0	-1.19838e+08	
19.9186	-9.57714e+07	0	-9.51358e+07	
20.2073	-6.79545e+07	0	-6.92572e+07	
20.4959	-4.15978e+07	0	-4.434e+07	
20.7846	-1.83705e+07	0	-2.20612e+07	
21.0733	625793	0	-3.54975e+06	
21.362	1.49581e+07	0	1.06766e+07	
21.6506	2.47457e+07	0	2.06282e+07	
21.9393	3.04306e+07	0	2.66801e+07	
22.228	3.27236e+07	0	2.94731e+07	
22.5167	3.25285e+07	0	2.98032e+07	
22.8053	3.06843e+07	0	2.8443e+07	
23.094	2.78476e+07	0	2.6045e+07	
23.3827	2.45771e+07	0	2.31505e+07	
23.6714	2.12977e+07	0	2.01636e+07	
23.96	1.82158e+07	0	1.73202e+07	
24.2487	1.54417e+07	0	1.47531e+07	
24.5374	1.30873e+07	0	1.25462e+07	
24.8261	1.11582e+07	0	1.07067e+07	
25.1147	9.55152e+06	0	9.17879e+06	
25.4034	8.20926e+06	0	7.9154e+06	
25.6921	7.11669e+06	0	6.8836e+06	
25.9808	6.21851e+06	0	6.03648e+06	
26.2694	5.47686e+06	0	5.33713e+06	
26.5581	4.88872e+06	0	4.76533e+06	
26.8468	4.39217e+06	0	4.28307e+06	
27.1355	3.91955e+06	0	3.85453e+06	
27.4241	3.50803e+06	0	3.48469e+06	
27.7128	3.19915e+06	0	3.1812e+06	
28.0015	2.93885e+06	0	2.91914e+06	
28.2902	2.68338e+06	0	2.67916e+06	
28.5788	2.45078e+06	0	2.4645e+06	
28.8675	2.24008e+06	0	2.27235e+06	
29.1562	2.04871e+06	0	2.09968e+06	
29.4449	1.9079e+06	0	1.95486e+06	
29.7335	1.79738e+06	0	1.82944e+06	
30.0222	1.65572e+06	0	1.70228e+06	
30.3109	1.50416e+06	0	1.57967e+06	
30.5996	1.40197e+06	0	1.47966e+06	
30.8882	1.32875e+06	0	1.39454e+06	
31.1769	1.24622e+06	0	1.31153e+06	
31.4656	1.1656e+06	0	1.23387e+06	
31.7543	1.08524e+06	0	1.16066e+06	
32.0429	997652	0	1.08913e+06	
32.3316	939124	0	1.02977e+06	
32.6203	913221	0	983148	
32.909	863489	0	932214	
33.1976	787680	0	876342	
33.4863	736585	0	830153	
33.775	707003	0	792204	
34.0637	672374	0	754631	
34.3523	643009	0	720413	
34.641	611925	0	687472	
34.9297	560502	0	650388	
35.2184	522193	0	618304	
35.507	518302	0	596911	
35.7957	504447	0	573981	
36.0844	464558	0	545226	
36.3731	434745	0	520281	
36.6617	416774	0	499348	
36.9504	395269	0	478286	
37.2391	385894	0	461308	
37.5278	379989	0	446092	
37.8164	348326	0	424933	
38.1051	316400	0	404334	
38.3938	315452	0	392211	
38.6825	315163	0	380859	
38.9711	295605	0	365317	
39.2598	279726	0	351245	
39.5485	266249	0	338163	
39.8372	246404	0	323923	
40.1258	243324	0	314275	
40.4145	251034	0	307715	
40.7032	233392	0	295428	
40.9919	206014	0	281128	
41.2805	202684	0	272839	
41.5692	205223	0	266281	
41.8579	196860	0	257559	
42.1466	191933	0	249938	
42.4352	182478	0	241459	
42.7239	161381	0	230534	
43.0126	158133	0	223988	
43.3013	172130	0	221632	
43.5899	164914	0	214714	
43.8786	143010	0	204679	
44.1673	137179	0	198377	
44.456	137512	0	193657	
44.7446	134114	0	188374	
45.0333	137613	0	184767	
45.322	132954	0	179481	
45.6107	111076	0	170623	
45.8993	105104	0	165373	
46.188	120418	0	164832	
46.4767	120354	0	161170	
46.7654	104821	0	154349	
47.054	98182.2	0	149473	
47.3427	94543	0	145370	
47.6314	91933.3	0	141662	
47.9201	101196	0	140490	
48.2087	101691	0	137566	
48.4974	80601.4	0	130353	
48.7861	71612.8	0	125721	
49.0748	85063.1	0	125711	
49.3634	89044.8	0	123898	
49.6521	80016.7	0	119555	
49.9408	74540.4	0	115957	
50.2295	67030.9	0	112070	
50.5181	62717.4	0	108946	
50.8068	75132.3	0	109120	
51.0955	80372.4	0	107918	
51.3842	61666.5	0	102187	
51.6728	50595.4	0	98014.8	
51.9615	60450.5	0	97898.3	
52.2502	65740.8	0	96981.5	
