time_value	hz	ex	ey	
0	0	0	0	
0.025	0	0	0	
0.05	0	0	0	
0.075	0	0	0	
0.1	0	0	0	
0.125	0	0	0	
0.15	0	0	0	
0.175	0	0	0	
0.2	0	0	0	
0.225	0	0	0	
0.25	0	0	0	
0.275	0	0	0	
0.3	0	0	0	
0.325	0	0	0	
0.35	0	0	0	
0.375	7.72988e-09	0	-1.54598e-08	
0.4	1.09531e-07	0	-2.03603e-07	
0.425	8.34843e-07	0	-1.4684e-06	
0.45	4.58453e-06	0	-7.72539e-06	
0.475	2.04493e-05	0	-3.32666e-05	
0.5	7.86624e-05	0	-0.000124045	
0.525	0.000267928	0	-0.000410218	
0.55	0.000815532	0	-0.00121328	
0.575	0.00222925	0	-0.00322715	
0.6	0.00550635	0	-0.00777556	
0.625	0.0123823	0	-0.0171098	
0.65	0.0255256	0	-0.034636	
0.675	0.0484883	0	-0.0648619	
0.7	0.0851613	0	-0.112812	
0.725	0.138604	0	-0.182825	
0.75	0.209492	0	-0.27702	
0.775	0.294798	0	-0.394033	
0.8	0.387382	0	-0.528535	
0.825	0.476863	0	-0.671836	
0.85	0.552016	0	-0.813854	
0.875	0.604628	0	-0.946428	
0.9	0.63356	0	-1.06674	
0.925	0.646217	0	-1.17843	
0.95	0.655023	0	-1.28883	
0.975	0.670229	0	-1.40367	
1	0.694152	0	-1.52331	
1.025	0.72071	0	-1.64258	
1.05	0.738304	0	-1.75186	
1.075	0.732362	0	-1.83738	
1.1	0.689132	0	-1.88385	
1.125	0.603887	0	-1.8816	
1.15	0.48769	0	-1.83195	
1.175	0.360805	0	-1.7421	
1.2	0.23322	0	-1.61184	
1.225	0.0921524	0	-1.4266	
1.25	-0.0864169	0	-1.16623	
1.275	-0.31424	0	-0.819408	
1.3	-0.585309	0	-0.384507	
1.325	-0.893361	0	0.141918	
1.35	-1.24219	0	0.76779	
1.375	-1.63109	0	1.49311	
1.4	-2.04201	0	2.30484	
1.425	-2.45643	0	3.19209	
1.45	-2.8805	0	4.16045	
1.475	-3.33619	0	5.22165	
1.5	-3.82408	0	6.36959	
1.525	-4.30994	0	7.57517	
1.55	-4.75858	0	8.80768	
1.575	-5.16807	0	10.0526	
1.6	-5.55375	0	11.2999	
1.625	-5.90611	0	12.5209	
1.65	-6.1858	0	13.6699	
1.675	-6.3592	0	14.7041	
1.7	-6.41731	0	15.5893	
1.725	-6.35422	0	16.286	
1.75	-6.14606	0	16.742	
1.775	-5.76267	0	16.9029	
1.8	-5.18777	0	16.7209	
1.825	-4.41359	0	16.1492	
1.85	-3.42293	0	15.1339	
1.875	-2.19208	0	13.6198	
1.9	-0.709402	0	11.5608	
1.925	1.02257	0	8.92002	
1.95	3.00246	0	5.66233	
1.975	5.23371	0	1.75599	
2	7.71104	0	-2.81901	
2.025	10.4146	0	-8.06826	
2.05	13.3196	0	-13.9864	
2.075	16.4016	0	-20.5558	
2.1	19.6261	0	-27.739	
2.125	22.9416	0	-35.4749	
2.15	26.2884	0	-43.6836	
2.175	29.607	0	-52.2676	
2.2	32.8294	0	-61.1064	
2.225	35.8696	0	-70.0506	
2.25	38.629	0	-78.9249	
2.275	41.0082	0	-87.5332	
2.3	42.9064	0	-95.6568	
2.325	44.2146	0	-103.052	
2.35	44.8177	0	-109.456	
2.375	44.6012	0	-114.586	
2.4	43.4517	0	-118.149	
2.425	41.2541	0	-119.835	
2.45	37.8976	0	-119.329	
2.475	33.2863	0	-116.321	
2.5	27.3403	0	-110.51	
2.525	19.9891	0	-101.604	
2.55	11.1748	0	-89.3335	
2.575	0.866066	0	-73.4619	
2.6	-10.9354	0	-53.7964	
2.625	-24.1978	0	-30.1939	
2.65	-38.8595	0	-2.57057	
2.675	-54.8223	0	29.0857	
2.7	-71.9461	0	64.7052	
2.725	-90.0496	0	104.129	
2.75	-108.909	0	147.098	
2.775	-128.253	0	193.245	
2.8	-147.758	0	242.083	
2.825	-167.056	0	293.006	
2.85	-185.744	0	345.288	
2.875	-203.374	0	398.076	
2.9	-219.458	0	450.386	
2.925	-233.469	0	501.116	
2.95	-244.86	0	549.046	
2.975	-253.064	0	592.852	
3	-257.504	0	631.116	
3.025	-257.604	0	662.346	
3.05	-252.799	0	684.991	
3.075	-242.551	0	697.474	
3.1	-226.354	0	698.207	
3.125	-203.759	0	685.635	
3.15	-174.389	0	658.266	
3.175	-137.952	0	614.708	
3.2	-94.2577	0	553.712	
3.225	-43.2278	0	474.212	
3.25	15.0796	0	375.374	
3.275	80.4566	0	256.635	
3.3	152.534	0	117.756	
3.325	230.767	-1.77636e-15	-41.1425	
3.35	314.429	-1.77636e-15	-219.53	
3.375	402.598	-3.55271e-15	-416.433	
3.4	494.161	-7.10543e-15	-630.396	
3.425	587.805	-7.10543e-15	-859.457	
3.45	682.021	0	-1101.12	
3.475	775.109	0	-1352.34	
3.5	865.194	-2.84217e-14	-1609.53	
3.525	950.243	-4.26326e-14	-1868.54	
3.55	1028.08	-8.52651e-14	-2124.71	
3.575	1096.42	-2.55795e-13	-2372.86	
3.6	1152.88	-5.40012e-13	-2607.37	
3.625	1195.05	-1.19371e-12	-2822.2	
3.65	1220.5	-2.52953e-12	-3011	
3.675	1226.86	-5.00222e-12	-3167.17	
3.7	1211.82	-9.49285e-12	-3283.96	
3.725	1173.25	-1.7792e-11	-3354.58	
3.75	1109.2	-3.26281e-11	-3372.36	
3.775	1017.98	-5.82929e-11	-3330.86	
3.8	898.227	-1.01409e-10	-3224.04	
3.825	748.966	-1.71809e-10	-3046.38	
3.85	569.654	-2.83876e-10	-2793.1	
3.875	360.25	-4.57021e-10	-2460.31	
3.9	121.264	-7.16597e-10	-2045.18	
3.925	-146.196	-1.09353e-09	-1546.08	
3.95	-440.375	-1.62298e-09	-962.824	
3.975	-758.845	-2.34041e-09	-296.734	
4	-1098.47	-3.27523e-09	449.157	
4.025	-1455.42	-4.44111e-09	1270.01	
4.05	-1825.11	-5.82338e-09	2159.05	
4.075	-2202.29	-7.36441e-09	3107.55	
4.1	-2581.01	-8.9502e-09	4104.72	
4.125	-2954.7	-1.04014e-08	5137.73	
4.15	-3316.2	-1.14745e-08	6191.74	
4.175	-3657.85	-1.18778e-08	7249.98	
4.2	-3971.58	-1.13048e-08	8293.82	
4.225	-4249.04	-9.49058e-09	9302.99	
4.25	-4481.67	-6.27915e-09	10255.8	
4.275	-4660.9	-1.69678e-09	11129.2	
4.3	-4778.27	3.99132e-09	11899.5	
4.325	-4825.59	1.02631e-08	12542.4	
4.35	-4795.16	1.63777e-08	13033.3	
4.375	-4679.89	2.14862e-08	13348.1	
4.4	-4473.57	2.48061e-08	13463.4	
4.425	-4170.98	2.58345e-08	13357.1	
4.45	-3768.13	2.45471e-08	13009.1	
4.475	-3262.45	2.15182e-08	12401.5	
4.5	-2652.92	1.78989e-08	11519.4	
4.525	-1940.29	1.5217e-08	10351.5	
4.55	-1127.17	1.50081e-08	8890.36	
4.575	-218.221	1.83484e-08	7133.35	
4.6	779.831	2.54144e-08	5082.73	
4.625	1858.06	3.52272e-08	2746.29	
4.65	3005.34	4.57057e-08	137.656	
4.675	4208.35	5.40778e-08	-2723.4	
4.7	5451.59	5.75812e-08	-5810.78	
4.725	6717.52	5.42587e-08	-9091.93	
4.75	7986.64	4.3569e-08	-12527.9	
4.775	9237.72	2.65404e-08	-16073.3	
4.8	10448	5.31236e-09	-19677	
4.825	11593.5	-1.78743e-08	-23281.8	
4.85	12649.2	-4.1945e-08	-26825.8	
4.875	13589.6	-6.80573e-08	-30242.4	
4.9	14389.1	-9.99951e-08	-33461.4	
4.925	15022.3	-1.43616e-07	-36410	
4.95	15464.5	-2.05394e-07	-39013.8	
4.975	15692.4	-2.90521e-07	-41197.9	
5	15684.3	-4.01228e-07	-42888.4	
5.025	15420.7	-5.36037e-07	-44013.8	
5.05	14885.3	-6.90259e-07	-44506.3	
5.075	14064.6	-8.5755e-07	-44303.4	
5.1	12949.1	-1.03179e-06	-43349.6	
5.125	11533.8	-1.20833e-06	-41597.9	
5.15	9817.94	-1.38378e-06	-39011	
5.175	7806.13	-1.55431e-06	-35563.4	
5.2	5508.19	-1.71298e-06	-31242.3	
5.225	2939.56	-1.84768e-06	-26048.9	
5.25	121.436	-1.94084e-06	-19999.6	
5.275	-2919.2	-1.9719e-06	-13127.2	
5.3	-6149.6	-1.92195e-06	-5480.97	
5.325	-9531.37	-1.77892e-06	2872.53	
5.35	-13020.7	-1.54107e-06	11849.3	
5.375	-16568.9	-1.2169e-06	21348.1	
5.4	-20122.6	-8.20942e-07	31251	
5.425	-23624.5	-3.66819e-07	41423.9	
5.45	-27014	1.39516e-07	51718.3	
5.475	-30228.3	7.03288e-07	61971.9	
5.5	-33202.6	1.3392e-06	72011.3	
5.525	-35872	2.06486e-06	81653.7	
5.55	-38171.8	2.89195e-06	90709.6	
5.575	-40039.1	3.81913e-06	98985.7	
5.6	-41413.8	4.82994e-06	106288	
5.625	-42239.8	5.8969e-06	112424	
5.65	-42466.3	6.98991e-06	117209	
5.675	-42048.8	8.08507e-06	120466	
5.7	-40950.5	9.16944e-06	122034	
5.725	-39143.5	1.02392e-05	121767	
5.75	-36609.4	1.12917e-05	119539	
5.775	-33340.7	1.23141e-05	115253	
5.8	-29341.3	1.32744e-05	108834	
5.825	-24627.3	1.41182e-05	100243	
5.85	-19227.3	1.47734e-05	89471	
5.875	-13183.1	1.51609e-05	76547.6	
5.9	-6549.41	1.52084e-05	61539	
5.925	606.16	1.48614e-05	44551.4	
5.95	8203.39	1.4089e-05	25730.5	
5.975	16150.1	1.28809e-05	5262.42	
6	24342.9	1.12366e-05	-16627.6	
6.025	32668.2	9.14949e-06	-39676.1	
6.05	41003.9	6.59279e-06	-63584	
6.075	49220.4	3.51137e-06	-88019	
6.1	57182.4	-1.72638e-07	-112620	
6.125	64751.1	-4.53977e-06	-137000	
6.15	71786.1	-9.64283e-06	-160753	
6.175	78147.8	-1.5477e-05	-183459	
6.2	83699.2	-2.19648e-05	-204691	
6.225	88309	-2.89659e-05	-224019	
6.25	91853.8	-3.63131e-05	-241020	
6.275	94220.1	-4.3861e-05	-255287	
6.3	95307.3	-5.15226e-05	-266432	
6.325	95029.9	-5.92719e-05	-274098	
6.35	93319.4	-6.71025e-05	-277964	
6.375	90126.3	-7.49555e-05	-277754	
6.4	85422.3	-8.26513e-05	-273245	
